date,dti_thr,dr4_thr
2007-03-31,109.7460323656882,-0.2366693275282028
2007-06-30,109.91130635516562,0.3632111819571354
2007-09-30,110.08211093352868,0.9630916914424735
2007-12-31,110.25568080633457,0.8939031920210903
2008-03-31,110.1399675577973,0.8247146925997071
2008-06-30,110.1399675577973,0.8247146925997071
2008-09-30,110.1399675577973,0.8247146925997071
2008-12-31,110.1399675577973,0.8247146925997071
2009-03-31,110.1399675577973,0.8247146925997071
2009-06-30,110.02425430926004,0.8939031920210903
2009-09-30,109.92753916493119,0.9630916914424735
2009-12-31,109.84982212481071,1.145572532708801
2010-03-31,109.84982212481071,1.145572532708801
2010-06-30,109.84982212481071,1.145572532708801
2010-09-30,109.84982212481071,1.145572532708801
2010-12-31,109.84982212481071,1.145572532708801
2011-03-31,109.84982212481071,1.145572532708801
2011-06-30,109.84982212481071,1.145572532708801
2011-09-30,109.84982212481071,1.145572532708801
2011-12-31,109.84982212481071,1.145572532708801
2012-03-31,109.84982212481071,1.145572532708801
2012-06-30,109.84982212481071,1.145572532708801
2012-09-30,109.84982212481071,1.145572532708801
2012-12-31,109.84982212481071,1.145572532708801
2013-03-31,109.84982212481071,1.145572532708801
2013-06-30,109.84982212481071,1.145572532708801
2013-09-30,109.84982212481071,1.145572532708801
2013-12-31,109.84982212481071,1.145572532708801
2014-03-31,109.84982212481071,1.145572532708801
2014-06-30,109.84982212481071,1.145572532708801
2014-09-30,109.84982212481071,1.145572532708801
2014-12-31,109.84982212481071,1.145572532708801
2015-03-31,109.84982212481071,1.145572532708801
2015-06-30,109.77210508469024,1.3280533739751286
2015-09-30,109.7396394651591,1.3289900880914751
2015-12-31,109.7396394651591,1.3289900880914751
2016-03-31,109.7396394651591,1.3289900880914751
2016-06-30,109.7396394651591,1.3289900880914751
2016-09-30,109.7396394651591,1.3289900880914751
2016-12-31,109.7396394651591,1.3289900880914751
2017-03-31,109.7396394651591,1.3289900880914751
2017-06-30,109.7396394651591,1.3289900880914751
2017-09-30,109.7396394651591,1.3289900880914751
2017-12-31,109.7396394651591,1.3289900880914751
2018-03-31,109.7396394651591,1.3289900880914751
2018-06-30,109.7396394651591,1.3289900880914751
2018-09-30,109.7396394651591,1.3289900880914751
2018-12-31,109.7396394651591,1.3289900880914751
2019-03-31,109.81096360475047,1.3280533739751286
2019-06-30,109.75587227492467,1.3289900880914751
2019-09-30,109.84982212481071,1.329926802207822
2019-12-31,109.96639768499142,1.3289900880914751
2020-03-31,109.96639768499142,1.3289900880914751
2020-06-30,109.96639768499142,1.3289900880914751
2020-09-30,109.96639768499142,1.3289900880914751
2020-12-31,109.96639768499142,1.3289900880914751
2021-03-31,109.96639768499142,1.3289900880914751
2021-06-30,109.96639768499142,1.3289900880914751
2021-09-30,109.96639768499142,1.3289900880914751
2021-12-31,109.96639768499142,1.3289900880914751
2022-03-31,109.96639768499142,1.3289900880914751
2022-06-30,109.96639768499142,1.3289900880914751
2022-09-30,109.96639768499142,1.3289900880914751
2022-12-31,109.96639768499142,1.3289900880914751
2023-03-31,109.96639768499142,1.3289900880914751
2023-06-30,109.96639768499142,1.3289900880914751
2023-09-30,109.91606404226974,1.329926802207822
2023-12-31,109.86573039954804,1.4270933483675927
2024-03-31,109.82687187948781,1.5242598945273633
2024-06-30,109.79948848208902,1.5498133338533524
2024-09-30,109.77210508469024,1.5242598945273633
2024-12-31,109.81318018078842,1.4270933483675927
